WordID,ShortWordName,English,Comments
1219,CreateDimension,Dimension,
1221,CreateLeader,Leader,
1223,CreateRadius,Radius,
1225,CreateBlock,Block,
1227,CreateCloud,Cloud,
1229,CreateHatch,Hatch,
1231,CreatePoint,Point,
1233,CreateArray,Array,
1251,EditCopy,Copy,
1253,EditMirror,Mirror,
1255,EditOffset,Offset,
1257,EditMove,Move,
1259,EditRotate,Rotate,
1261,EditStretch,Stretch,
1263,EditScale,Scale,
1265,EditExtend,Extend,
1267,EditTrim,Trim,
1269,EditFillet,Fillet,
1271,EditExplode,Explode,
1300,ADVANCED_2D,,
1031,CreateFolder,Folder,Create a folder
1033,CreateGrid,Grid,Create grid system
1035,VerticalVessel,Vertical Vessel,Create vertical vessel equipment
1037,CreatePiping,Piping,Create piping system
1039,LoadCase,Load Case,Define load case
1041,CodeIS456,IS456,Indian concrete design code
1043,GeneralDrawing,Drawing,Create general drawing
1045,ImportSTD,Import STD,Import standard file
1047,ImportCII,Import CII,Import CII format
1049,ImportDXF,Import DXF,Import DXF file
1051,ImportDWG,Import DWG,Import DWG file
1053,ExportSTD,Export STD,Export standard file
1055,ExportDWG,Export DWG,Export DWG file
2974120935,PROJECT_OPEN,Project Open,Project Open
3662721928,PROJECT_SAVE,Project Save,Project Save
2769288455,PROJECT_CLOSE,Project Close,Project Close
3583994253,CREATE_FOLDER,Create Folder,Create Folder
3534410448,CREATE_PAGE2D,Create Page2d,Create Page2d
2618728952,CREATE_SCENE3D,Create Scene3d,Create Scene3d
3165697720,FOLDER_VISIBILITY,Folder Visibility,Folder Visibility
3494793623,SEARCH_BOX,Search Box,Search Box
2671908760,SEARCH_NORMAL,Search Normal,Search Normal
2256630789,SEARCH_ADVANCED,Search Advanced,Search Advanced
2841437047,SEARCH_PREVIOUS,Search Previous,Search Previous
3707454780,SEARCH_NEXT,Search Next,Search Next
4139180641,SELECT_ANYTHING,Select Anything,Select Anything
4219872277,SELECT_PIPING,Select Piping,Select Piping
3535563669,SELECT_BEAMCOLUMNS,Select Beamcolumns,Select Beamcolumns
2543903424,SELECT_REINFORCEMENT,Select Reinforcement,Select Reinforcement
3207100675,SELECT_TEMPLATES,Select Templates,Select Templates
2517260761,SELECT_TEXT,Select Text,Select Text
2198107607,SELECT_LINES,Select Lines,Select Lines
2785135817,CREATE_LINE,Create Line,Create Line
2752552705,CREATE_POLYLINE,Create Polyline,Create Polyline
2767081087,CREATE_POLYGON,Create Polygon,Create Polygon
2296024348,CREATE_CIRCLE,Create Circle,Create Circle
4138882481,CREATE_ARC,Create Arc,Create Arc
2722806267,CREATE_ELLIPSE,Create Ellipse,Create Ellipse
2860235357,CREATE_NURBS,Create Nurbs,Create Nurbs
4152948280,CREATE_TEXT,Create Text,Create Text
4154659874,CREATE_SPECIALTEXT,Create Specialtext,Create Specialtext
2301422498,CREATE_DIMENSION,Create Dimension,Create Dimension
3591118508,CREATE_LEADER,Create Leader,Create Leader
4084964772,CREATE_RADIUS,Create Radius,Create Radius
3804626501,CREATE_BLOCK,Create Block,Create Block
2717093139,CREATE_CLOUD,Create Cloud,Create Cloud
3831194862,CREATE_HATCH,Create Hatch,Create Hatch
3332664091,CREATE_POINT,Create Point,Create Point
3084147119,CREATE_ARRAY,Create Array,Create Array
4165978869,CREATE_GRID2D,Create Grid2d,Create Grid2d
3467346282,CREATE_BLOCK2D,Create Block2d,Create Block2d
3089016617,EDIT_COPY,Edit Copy,Edit Copy
3701724585,EDIT_MIRROR,Edit Mirror,Edit Mirror
2230905462,EDIT_OFFSET,Edit Offset,Edit Offset
3937232917,EDIT_MOVE,Edit Move,Edit Move
